"id","department_id","municipality_id","postal_zone","name","type","neighborhood","sidewalk"
50001,5,5001,"0500","050001","Urbano","Andalucía- La Francia- La Frontera- La Isla- Pablo VI- Playón de Los Comuneros- Villa del Socorro- Villa Niza","Sin Informacion de Veredas"
50002,5,5001,"0500","050002","Urbano","Aldea Pablo VI- Carpinelo- El Compromiso- La Avanzada- La Esperanza No.2- Popular- Santo Domingo Savio No.1- Santo Domingo Savio No.2","Sin Informacion de Veredas"
50003,5,5001,"0500","050003","Urbano","Granizal- La Rosa- Moscú No.1- Moscú No.2- San Pablo- Santa Cruz- Villa Guadalupe","Sin Informacion de Veredas"
50004,5,5001,"0500","050004","Urbano","Aranjuez- Berlin- Bermejal-Los Alamos- La piñuela- Palermo- San Isidro","Sin Informacion de Veredas"
50005,5,5001,"0500","050005","Urbano","Campo Valdés No.2- La Salle- Las Granjas- María Cano-Carambolas- Oriente- San José La Cima No.1- San José La Cima No.2- Santa Inés","Sin Informacion de Veredas"
50006,5,5001,"0500","050006","Urbano","Brasilia- Campo Valdés No.1- Las Esmeraldas- Miranda- Moravia","Sin Informacion de Veredas"
50007,5,5001,"0500","050007","Rural","Sin Informacion de Barrios","Barro Blanco- La Honda"
50010,5,5001,"0500","050010","Urbano","El Chagualo- Estación Villa- Hospital San Vicente de Paúl- Jardín Botánico- Jesús Nazareno- Manrique Central No.1- Parque Norte- San Benito- San Pedro- Sevilla- Universidad de Antioquia","Sin Informacion de Veredas"
50011,5,5001,"0500","050011","Urbano","Batallón Girardot- El Pomar- El Raizal- La Cruz- Manrique Central No.2- Manrique Oriental- Versalles No.1- Versalles No.2","Sin Informacion de Veredas"
50012,5,5001,"0500","050012","Urbano","Boston- La Candelaria- La Mansión- Los Ángeles- Prado- San Miguel- Villa Hermosa- Villa Nueva","Sin Informacion de Veredas"
50013,5,5001,"0500","050013","Urbano","Barrio Caycedo- El Pinal- Enciso- La Ladera- La Libertad- LLanaditas- Los Mangos- Sucre- Trece de Noviembre","Sin Informacion de Veredas"
50014,5,5001,"0500","050014","Urbano","Alejandro Echavarría- Barrios de Jesús- Juan Pablo II- La Sierra- Las Estancias- Ocho de Marzo- San Antonio- Villa Lilliam- Villa Turbay- Villatina- Calle Nueva","Media Luna"
50015,5,5001,"0500","050015","Urbano","Calle Nueva- Centro Administrativo- Corazón de Jesús- Guayaquil- La Alpujarra- Perpetuo Socorro","Sin Informacion de Veredas"
50016,5,5001,"0500","050016","Urbano","Asomadera No.1- Barrio Colón- Bomboná No.1- Buenos Aires- El Salvador- Gerona- Las Palmas- San Diego","Sin Informacion de Veredas"
50017,5,5001,"0500","050017","Rural","Sin Informacion de Barrios","Barro Blanco- El Llano SE-  El Placer-  El Plan-  Mazo-  Perico-  Piedra Gorda"
50018,5,5001,"0500","050018","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
50020,5,5001,"0500","050020","Urbano","Bomboná No.2- Cataluña- La Milagrosa- Loreto- Los Cerros El Vergel- Miraflores","Sin Informacion de Veredas"
50021,5,5001,"0500","050021","Urbano","Altos del Poblado- Asomadera No.2- Asomadera No.3- Barrio Colombia- Castropol- El Poblado- El Tesoro- La Florida- Lalinde- Las Lomas No.1- Las Lomas No.2- Manila- Villa Carlota","Sin Informacion de Veredas"
50022,5,5001,"0500","050022","Urbano","Alejandría- Astorga- El Castillo- El Diamante No.2- La Aguacatala- Los Balsos No.1- Los Balsos No.2- Los Naranjos- Patio Bonito- San Lucas- Santa María de Los Ángeles","Sin Informacion de Veredas"
50023,5,5001,"0500","050023","Urbano","El Rincón- El Rodeo- Guayabal- La Colina- La Hondonada- La Mota","San José del Manzanillo"
50024,5,5001,"0500","050024","Urbano","Campo Amor- Cristo Rey- Parque Juan Pablo II- Santa Fé- Tenche- Trinidad","Sin Informacion de Veredas"
50025,5,5001,"0500","050025","Urbano","Diego Echavarría- Granada- Las Playas- San Bernardo","Sin Informacion de Veredas"
50026,5,5001,"0500","050026","Urbano","Altavista- Area de Expansión Altavista- La Gloria- La Loma de Los Bernal- La Palma- Las Violetas- Los Alpes","Altavista Sector Central- Área de Expansión Altavista-  Área de Expansión Belén Rincón-  La Esperanza-  San Pablo"
50027,5,5001,"0500","050027","Rural","Sin Informacion de Barrios","Aguas Frías"
50028,5,5001,"0500","050028","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
50029,5,5001,"0500","050029","Rural","Sin Informacion de Barrios","Área de Expansión San Antonio de Prado- Buga Patio Bonito-  El Salado-  San José"
50030,5,5001,"0500","050030","Urbano","Belén- Cerro Nutibara- El Nogal-Los Almendros- Fátima- Los Conquistadores- Miravalle- Rosales","Sin Informacion de Veredas"
50031,5,5001,"0500","050031","Urbano","Bolivariana- El Velódromo- Florida Nueva- Las Acacias- Laureles- Lorena- Los Pinos- Naranjal- San Joaquín- U.P.B","Sin Informacion de Veredas"
50032,5,5001,"0500","050032","Urbano","Barrio Cristóbal- Belencito- Campo Alegre- El Danubio- La América- La Castellana- La Floresta- Las Mercedes- Nueva Villa del Aburrá- Santa Mónica- Santa Teresita- Simón Bolívar","Sin Informacion de Veredas"
50033,5,5001,"0500","050033","Urbano","Antonio Nariño- Betania- Eduardo Santos- El Corazón- El Salado- El Socorro- Las Independencias- Nuevos Conquistadores- San Javier No.1- San Javier No.2- Santa Lucía- Veinte de Julio","Eduardo Santos- El Corazón El Morro-  La Loma"
50034,5,5001,"0500","050034","Urbano","Altamira- Batallón Cuarta Brigada- Bosques de San Pablo- Caribe- Carlos E. Restrepo- Cerro El Volador- Cuarta Brigada- Ecoparque Cerro El Volador- Estadio- Facultad de Minas U. Nacional- Facultad Veterinaria y Zootecnia U.de.A.- La Pilarica- Los Colores-","Sin Informacion de Veredas"
50035,5,5001,"0500","050035","Urbano","Area de Expansión San Cristóbal- Blanquizal- Calasanz- Calasanz Parte Alta- El Pesebre- Ferrini- Juan XXIII La Quiebra- La Pradera- Los Alcázares- Metropolitano- Olaya Herrera- Santa Rosa de Lima","Área de Expansión San Cristóbal"
50036,5,5001,"0500","050036","Urbano","Cucaracho- Fuente Clara- Robledo- Santa Margarita","Área de Expansión Pajarito- Cabecera Urbana Corregimiento San Cristóbal-  La Palma-  Las Playas-  Pedregal Alto-  Travesías"
50037,5,5001,"0500","050037","Rural","Sin Informacion de Barrios","El Astillero- El Llano-  El Patio-  El Uvito-  La Cuchilla-  Naranjal-  Volcana Guayabal"
50040,5,5001,"0500","050040","Urbano","Alfonso Lopez- Córdoba- Cementerio Universal- Francisco Antonio Zea- Kennedy- Lopez de  Mesa- Oleoducto- Terminal de Transporte","Sin Informacion de Veredas"
50041,5,5001,"0500","050041","Urbano","Aures No.1- Aures No.2- Bello Horizonte- El Diamante- Palenque- Villa Flora","Pajarito"
