"id","name","description","code"
"1","IVA","Impuesto sobre la Ventas","01"
"2","IC","Impuesto al Consumo Departamental Nominal","02"
"3","ICA","Impuesto de Industria, Comercio y Aviso","03"
"4","INC","Impuesto Nacional al Consumo","04"
"5","ReteIVA","Retención sobre el IVA","05"
"6","ReteRenta","Retención sobre Renta","06"
"7","ReteICA","Retención sobre el ICA","07"
"8","FtoHorticultura","Cuota de Fomento Hortifrutícula","20"
"9","Timbre","Impuesto de Timbre","21"
"10","INC Bolsas","Impuesto Nacional al Consumo de Bolsa Plástica","22"
"11","INCarbono","Impuesto Nacional del Carbono","23"
"12","INCombustibles","Impuesto Nacional a los Combustibles","24"
"13","Sobretasa Combustibles","Sobretasa a los combustibles","25"
"14","Sordicom","Contribución minoristas (Combustibles)","26"
"16","Nombre de la figura tributaria","Otros tributos, tasas, contribuciones, y similares","ZZ"
"17","IC Porcentual","Impuesto al Consumo Departamental Porcentual","08"
"18","IC Datos","Impuesto al Consumo de Datos","30"
