"id","name","scope","code"
"1","Contributivo cotizante","health","01"
"2","Contributivo beneficiario","health","02"
"3","Contributivo adicional","health","03"
"4","Subsidiado ","health","04"
"5","Sin régimen","health","05"
"6","Especiales o de Excepción cotizante ","health","06"
"7","Especiales o de Excepción beneficiario","health","07"
"8","Particular","health","08"
"9","Tomador/Amparado ARL","health","09"
"10","Tomador/Amparado SOAT","health","10"
"11","Tomador/Amparado Planes voluntarios de salud","health","11"
