"id","name","code"
"1","Documento validado por la DIAN","02"
"2","Documento rechazado por la DIAN","04"
"3","Acuse de recibo de Factura Electrónica de Venta","030"
"4","Reclamo de la Factura Electrónica de Venta","031"
"5","Recibo del bien y/o prestación del servicio","032"
"6","Aceptación expresa","033"
"7","Aceptación Tácita","034"
"8","Aval","035"
"9","Inscripción de la factura electrónica de venta como título valor - RADIAN","036"
"10","Endoso en propiedad","037"
"11","Endoso en garantía","038"
"12","Endoso en procuración","039"
"13","Cancelación de endoso","040"
"14","Limitaciones a la circulación de la factura electrónica de venta como título","041"
"15","Terminación de las limitaciones a la circulación de la factura electrónica de venta como título","042"
"16","Mandato","043"
"17","Terminacion del Mandato","044"
"18","Pago de la factura electrónica de venta como título valor","045"
"19","Informe para el pago","046"
