"id","name","code"
"1","Mandato con Representación","MR91-SNE"
"2","Mandato por documento General","ALL17-SNE"
"3","Registrar, firmar y consultar documento electrónico tipo ApplicationResponse - Acuse de recibo","R01-SNE"
"4","Registrar y firmar documento electrónico tipo ApplicationResponse - Rechazo de la FEV","R02-SNE"
"5","Registrar, firmar y consultar documento electrónico tipo ApplicationResponse - Constancia de recibo del bien y/o prestación del servicio","R03-SNE"
"6","Registrar, firmar y consultar documento electrónico tipo ApplicationResponse - Aceptación expresa","R04-SNE"
"7","Registrar, firmar y consultar documento electrónico tipo ApplicationResponse – Manifestación Aceptación Tácita","R05-SNE"
"8","Registrar, firmar y consultar documento electrónico tipo ApplicationResponse - Aval","R06-SNE"
"9","Registrar, firmar y consultar documento electrónico tipo Application Response – Inscripción de la factura electrónica de venta como título valor - RADIAN","R07-SNE"
"10","Registrar, firmar y consultar documento electrónico tipo Application Response – Endoso en Propiedad (con o sin responsabilidad)","R08-SNE"
"11","Registrar, firmar y consultar documento electrónico tipo Application Response – Endoso en Garantía","R09-SNE"
"12","Registrar, firmar y consultar documento electrónico tipo Application Response – Endoso en Procuración","R10-SNE"
"13","Registrar, firmar y consultar documento electrónico tipo Application Response – Cancelación de endoso","R11-SNE"
"14","Registrar, firmar y consultar documento electrónico tipo Application response – Limitaciones a la circulación de la factura electrónica de venta como título","R12-SNE"
"15","Registrar, firmar y consultar documento electrónico tipo Application response – Terminación de las limitaciones a la circulación de la factura electrónica de venta como título","R13-SNE"
"16","Registrar, firmar y consultar documento electrónico tipo ApplicationResponse – Mandato","R14-SNE"
"17","Registrar, firmar y consultar documento electrónico tipo ApplicationResponse - Terminación del Mandato","R15-SNE"
"18","Registrar, firmar y consultar documento electrónico tipo ApplicationResponse - Pago de la factura electrónica de venta como título valor","R16-SNE"
"19","Registrar, firmar y consultar documento electrónico tipo ApplicationResponse – Inforrme para el pago","R17-SNE"
"20","Mandato con Representación","MR91-PT"
"21","Mandato por documento General","ALL17-PT"
"22","Registrar, firmar y consultar documento electrónico tipo ApplicationResponse - Acuse de recibo","R01-PT"
"23","Registrar y firmar documento electrónico tipo ApplicationResponse - Rechazo de la FEV","R02-PT"
