"id","name","scope","code"
"1","Registro civil","","11"
"2","Tarjeta de identidad","","12"
"3","Cédula de ciudadanía","","13"
"4","Tarjeta de extranjería","","21"
"5","Cédula de extranjería","","22"
"6","NIT","","31"
"7","Pasaporte","","41"
"8","Documento de identificación extranjero","","42"
"9","NIT de otro país","","50"
"10","NUIP","","91"
"11","Cédula de ciudadanía","health","CC"
"12","Cédula de extranjería","health","CE"
"13","Carné diplomático","health","CD"
"14","Pasaporte","health","PA"
"15","Salvoconducto","health","SC"
"16","Permiso especial de permanencia","health","PE"
"17","Registro civil de nacimiento","health","RC"
"18","Tarjeta de identidad","health","TI"
"19","Certificado de nacido vivo","health","CN"
"20","Adulto sin identificar","health","AS"
"21","Menor sin identificar","health","MS"
"22","Documento extranjero","health","DE"
"23","Sin identificación","health","SI"
"24","PEP","","47"
"25","Certificado Registraduría sin identificación","reception","10910036"
"26","Registro civil","reception","10910092"
"27","Tarjeta de identidad","reception","10910093"
"28","Cédula de ciudadanía","reception","10910094"
"29","Tarjeta de extranjería","reception","10910095"
"30","Cédula de extranjería","reception","10910096"
"31","NIT","reception","10910097"
"32","Pasaporte","reception","10910098"
"33","Tipo de documento desconocido","reception","10910366"
"34","Documento de identificación extranjero","reception","10910394"
"35","PEP","reception","10910401"
"36","Nit de otro país","reception","10910402"
"37","NIUP","reception","10910403"
